[23/Jun/2024 16:19:01] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:296] Watching dir /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:296] Watching dir /Users/seyonsatheesh/Seyon/FBLA 2024/Web/ventike/locale with glob **/*.mo.
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:296] Watching dir /Users/seyonsatheesh/Seyon/FBLA 2024/Web/ventike/api/locale with glob **/*.mo.
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:296] Watching dir /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/asgiref/current_thread_executor.py first seen with mtime 1719098029.207623
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/PIL/_typing.py first seen with mtime 1705591581.4513445
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/forms/forms.py first seen with mtime 1719098030.038766
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_json.cpython-311-darwin.so first seen with mtime 1675782868.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/deletion.py first seen with mtime 1719098030.0302794
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/views.py first seen with mtime 1719098030.7865436
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/rest_framework/templatetags/__init__.py first seen with mtime 1719098030.8275502
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/core/checks/model_checks.py first seen with mtime 1719098030.0050464
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_bz2.cpython-311-darwin.so first seen with mtime 1675782865.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/utils/functional.py first seen with mtime 1719098030.0652847
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/backends/postgresql/psycopg_any.py first seen with mtime 1719098030.0246198
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/dj_database_url/__init__.py first seen with mtime 1719154604.322655
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/protocols.py first seen with mtime 1675782615.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/wsgiref/simple_server.py first seen with mtime 1675782616.0
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/core/files/locks.py first seen with mtime 1719098030.0070508
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/test/testcases.py first seen with mtime 1719098030.0609848
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Users/seyonsatheesh/Seyon/FBLA 2024/Web/ventike/ventike/settings.py first seen with mtime 1719159541.005479
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/sqlparse/exceptions.py first seen with mtime 1719098029.1220698
[23/Jun/2024 16:19:01] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/zoneinfo/_tzpath.py first seen with mtime 1675782616.0
